zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon,Postcode Sectors,Facility name,Tier,index
69,"8,746 ",50.83232774,-1.220390044,urban,0 ,,,PO14 3,,,
70,"8,726 ",50.85101712,-1.245183875,urban,0 ,,,PO14 4,,,
71,"7,023 ",50.8563158,-1.218817466,urban,"139,149 ",50.865268,-1.241278,PO15 5,Segensworth,1,j9
72,"8,300 ",50.86219162,-1.209808655,urban,0 ,,,PO15 6,,,
73,"7,741 ",50.87423339,-1.237136069,urban,0 ,,,PO15 7,,,
74,"5,406 ",50.84857408,-1.181366278,urban,0 ,,,PO16 0,,,
75,"8,002 ",50.85701751,-1.185158868,urban,0 ,,,PO16 7,,,
76,"10,355 ",50.85194978,-1.147261631,urban,0 ,,,PO16 8,,,
77,"8,774 ",50.84322484,-1.13281599,urban,0 ,,,PO16 9,,,
78,"4,680 ",50.89060999,-1.193618697,rural,0 ,,,PO17 5,,,
79,"2,285 ",50.88350551,-1.140887414,rural,0 ,,,PO17 6,,,
80,"12,294 ",50.81759916,-1.073521904,urban,0 ,,,PO2 0,,,
81,"12,810 ",50.80891577,-1.078632573,urban,0 ,,,PO2 7,,,
82,"8,680 ",50.81622249,-1.085849083,urban,0 ,,,PO2 8,,,
83,"8,738 ",50.82254953,-1.077456766,urban,0 ,,,PO2 9,,,
84,"8,518 ",50.82167088,-1.061208692,urban,0 ,,,PO3 5,,,
85,"12,086 ",50.80534559,-1.062054715,urban,0 ,,,PO3 6,,,
86,"13,224 ",50.78825974,-1.075961993,urban,0 ,,,PO4 0,,,
87,"13,645 ",50.79560974,-1.059044019,urban,0 ,,,PO4 8,,,
88,"14,403 ",50.78832055,-1.060185051,urban,0 ,,,PO4 9,,,
89,"9,066 ",50.79265635,-1.083327938,urban,0 ,,,PO5 1,,,
90,"7,114 ",50.78588176,-1.083587979,urban,0 ,,,PO5 2,,,
91,"5,340 ",50.78776947,-1.091385598,urban,0 ,,,PO5 3,,,
92,"7,868 ",50.7941827,-1.089056128,urban,0 ,,,PO5 4,,,
93,"8,289 ",50.84462756,-1.041184465,urban,0 ,,,PO6 1,,,
